0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Col1a2,Tgfbi,Lgals4,Hmga2,Sox4,C1qa,Wfdc2,Il1b,Clu,Hsp90ab1,Dmbt1,Srgn,Arg1,Pecam1,mt-Nd1,Rps20,Krt18,Xist,Cst3,Apoe,Rps2,Ebf1,Ftl1
Col1a1,Ctss,Pglyrp1,Fbln2,Hmga2,C1qc,Krt7,Pim1,Cdkn2a,S100a6,Pglyrp1,Il1b,Ccl6,Cdh5,mt-Co3,Rpsa,Krt7,Trbc2,Tmsb4x,Csf1r,Ppp1r14b,Sparcl1,Fth1
Col3a1,Lyz2,Fxyd3,Cdkn2a,Tsc22d1,Apoe,Lgals4,Srgn,Slc12a2,Rps2,Lgals4,Mcl1,Ccl9,Kdr,mt-Co1,Rpl41,Klf5,Cd3g,Actb,Psap,Npm1,Cald1,Atp6v0c
Aebp1,Ifi30,Gsta4,Clu,Tnfrsf23,C1qb,Gsta4,Junb,Spp1,Tnnt2,Sptssb,Cxcl2,Ctsd,Ramp2,mt-Co2,Ppp1r14b,Sfn,Cd3e,Lsp1,mt-Atp6,Fosl1,Col4a2,Hilpda
Bgn,H2-DMa,Prom1,Prkg2,Sox9,Ms4a7,Spint2,H3f3b,Tnfrsf12a,Krt18,Fxyd3,Cebpb,Psap,Egfl7,mt-Atp6,Lgals1,Krt8,Cd52,Psmb8,mt-Nd4,Rplp0,Pdgfrb,Basp1
Dcn,Cd74,Dmbt1,Spp1,Ugdh,Selenop,S100a11,Il1r2,Onecut2,Prdx2,Cldn7,Pim1,Cybb,Gng11,mt-Nd4,Eef1g,Krt19,AW112010,Atox1,Laptm5,Cks1b,Serpine2,Ccl3
Col5a2,Psap,Spint2,Slc12a2,Gapdh,Ctsb,Msln,Cxcl2,S100a6,Prkg2,Prom1,Tyrobp,Lgals3,Col4a1,Onecut2,Rplp1,Atf3,Rps24,Ifi30,mt-Co3,Wincr1,Rgs5,Cxcl2
Ccdc80,Gm2a,Epcam,Aldh2,Tpi1,Csf1r,Prom1,Mcl1,Prdx1,Tm4sf4,Atp1b1,Junb,Ftl1,Col4a2,mt-Nd5,Eef1b2,Cldn3,Ptprc,Cbfa2t3,mt-Cytb,Rbp4,Epas1,Mif
Fstl1,Ctsc,Atp1b1,Map1b,Eif1,Aif1,Fxyd3,Ccrl2,Alcam,Plac8,Tmprss4,Plek,Ctss,Plvap,mt-Cytb,Rplp0,Hbegf,H2-K1,Napsa,mt-Co2,Hist1h2ap,Itga1,Il1rn
Serping1,Pld4,Cldn7,Sox4,Sfr1,Lgmn,Krt19,Cebpb,2200002D01Rik,Npm1,Spink4,Nfkbia,Lyz2,Cd200,mt-Nd2,Rpl14,Tsc22d1,Cd3d,Cd74,mt-Nd2,Hmga1,Sept4,Cstb
Sparc,Cybb,Spink4,Rtn4,Pkm,Itm2b,Krt8,Tyrobp,Sdc1,Tpd52l1,Gsta4,Csf3r,Ctsb,Ecscr,mt-Nd3,Rpl12,Epcam,Rps15a,H2-Aa,Ctss,Eef1g,Col4a1,Srgn
Serpinh1,Csf1r,Lgals2,Dst,Aff4,Ms4a6c,S100a6,Tnfaip2,Sox4,Anxa2,Phgr1,S100a9,Fcgr2b,Eng,Npnt,Rpl15,Cldn7,Ltb,Psme1,mt-Co1,Ran,Gm13889,Hcar2
Loxl1,Fcgr2b,Wfdc2,Tnfrsf12a,Pgk1,Lyz2,Cldn7,Btg2,Cldn2,Phgdh,Spint2,S100a8,Ctsz,Ctla2a,Ecm1,Rps2,Anxa1,Rps27,Actg1,Cd74,Psat1,Ndufa4l2,Eif1
Cdh11,H2-Ab1,Smim6,Piezo2,Camk2n1,Ctsc,Cdh1,Mmp9,Camk2n1,Ankrd1,Epcam,Il1r2,Fth1,Ptprb,Pbx1,Rps12,Lgals4,Ptprcap,Crip1,mt-Nd1,Ccnd1,Gng11,Ccrl2
Col5a1,Mpeg1,Serpinb1a,Prdx2,Fam162a,Ctss,Tspan8,Ncf1,Tm4sf4,Fermt1,Smim6,Btg1,Cd53,Cd34,Slc4a4,Rpl6,Gsta4,Coro1a,Syngr2,Xist,Rpl15,Serping1,Cd53
Fbn1,Ms4a6c,Sptssb,Myof,Rtn4,Cx3cr1,Smpd3,Hdc,Krt7,Prxl2a,Muc1,Fcer1g,Cd68,Rasip1,Cdh1,Rps8,Anxa2,H2-Q7,H2-Eb1,Lyz2,Ppia,Nr2f2,S100a8
Cpxm1,Ccl6,Msln,Alcam,Bnip3l,Stab1,Lgals2,AA467197,Ltbp3,Cdkn2a,Smim22,Fth1,Mafb,Adgrf5,Clu,Rps4x,Wfdc2,Mbnl1,Bcl2a1d,Ctsb,Tnnt2,Mfge8,Ier3
Col6a1,H2-Aa,Tspan8,Cldn2,Fbln2,Mrc1,Epcam,Fcer1g,Tspan8,Srd5a1,Serpinb1a,Hdc,Fcgr3,Mmrn2,Cd44,Rpl3,Onecut2,Rpl27,H2afz,Fcgr2b,Gjb4,Igfbp7,S100a9
Serpinf1,Dab2,Prr15l,Fn1,Tnfrsf12a,Mpeg1,Prxl2a,Plek,Prkg2,Hmga2,Tm4sf20,Clec4e,Msr1,Emcn,Cdkn2a,Rps7,Gprc5a,Hcst,Sub1,H2-Aa,Top2a,Des,H3f3b
Lhfp,Ctsz,Smpd3,Mast4,Ndrg1,Unc93b1,Plac8,Zfp36,Ctnnb1,Palmd,Lgals2,Cd52,C3ar1,Tcf4,Arhgef5,Rpl39,F2rl1,Ms4a4b,Sh3bgrl3,C1qa,Rpsa,Higd1b,Cd274
