0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
AW112010,Clu,Il1b,Igkc,Dcn,Lgals4,Apoe,Cks1b,Rps24,Lyz2,Cst3,Hmga2,Clu,Apoe,S100a6,Col3a1,Cxcl2,Tcf4,Il1b,Prss2,Igkc,Igkc
Xist,Cystm1,Srgn,Ighm,Sparc,Cldn7,C1qa,Rps2,Gm42418,Ctss,Actb,Dst,Onecut2,Lyz2,Lgals1,Col1a2,S100a9,Col4a1,Srgn,Ctrb1,Ighm,Jchain
Cd3d,Tm4sf4,Junb,Ebf1,Col6a1,Prom1,C1qb,Stmn1,Rps27,Psap,Ifi30,Sox4,Krt18,Ctss,S100a10,Sparc,Il1b,Egfl7,Pim1,Cpa1,Ebf1,Mzb1
Trbc2,Slc12a2,Tyrobp,Rps24,Timp1,Atp1b1,C1qc,Ccnd1,Rpl37a,Fcer1g,Cd74,Inhba,2200002D01Rik,C1qa,Rplp0,Col1a1,S100a8,Gng11,Cxcl2,Cela2a,Cd79a,Pou2af1
Cd3e,Sox4,Pim1,Cd79a,Aebp1,Wfdc2,Lyz2,Selenoh,Rps15a,Ifi30,Lsp1,Itgb1,Krt8,Psap,Ppia,Bgn,G0s2,Sptbn1,Cebpb,2210010C04Rik,Xist,Iglv1
Ptprc,Krt18,Cxcl2,Rps27,Sdc2,Spint2,Ctss,Cystm1,Rps29,Ccr2,H2-Aa,Kras,Anxa4,Cd74,Nme2,Serping1,Tnfaip2,Col4a2,S100a9,Try5,Rps24,Ssr4
Cd52,Onecut2,Cebpb,Cd74,Fbln2,Epcam,Psap,Lgals2,Xist,Ms4a6c,Tmsb4x,Pbx1,Tspan8,C1qb,S100a11,Serpinh1,Hdc,Cdh5,Junb,Sycn,Ly6d,Slpi
Rps15a,Alcam,S100a9,Ly6d,Fn1,Gsta4,Ctsb,Krt18,Trbc2,Tyrobp,Atox1,Ctsl,Atp1b1,H2-Ab1,Rpl13,Aebp1,Il1rn,Aplp2,Mcl1,Cpb1,Rps27,Iglc3
Nkg7,Tspan8,Mcl1,H2-Aa,Cald1,Dmbt1,Ctsc,S100a6,Rps13,Cd74,H2-Ab1,Mast4,Spp1,Mafb,Tpm1,Col5a2,Mxd1,Pecam1,S100a8,Pnliprp1,Ptprc,Xbp1
Cd3g,Camk2n1,G0s2,Rps29,Col6a2,Fxyd3,Lgmn,Tm4sf1,Rpl38,Tgfbi,Crip1,Map1b,Prom1,H2-Aa,Uqcc2,Fstl1,Spp1,Ifitm3,Tyrobp,Cela3b,Rps29,Sec11c
Ms4a4b,Ltbp3,S100a8,Rps20,Pcolce,Klf5,Mafb,Ppp1r14b,Rps16,Ifitm3,H2-Eb1,Ltbp1,Cldn2,C1qc,Rpl21,Ccdc80,Ptgs2,Kdr,Ptprc,Cel,Rps16,Tent5c
Rps24,Hmga2,Fcer1g,Iglc2,Prrx1,Onecut2,Csf1r,Krt8,Rpl27a,H2-Ab1,Cbfa2t3,Itga6,Krt7,H2-Eb1,Vim,Igfbp7,Ccrl2,Ramp2,G0s2,Rnase1,Ltb,Trp53inp1
Mbnl1,Spp1,Il1r2,Gm42418,Fbn1,Pglyrp1,Cd74,Dtymk,Ptprc,H2-DMa,Napsa,Rtn4,Rbp1,Ctsb,Cdkn2a,Loxl1,Cebpb,Nfib,Il1r2,Reg1,Ets1,Cd79a
H2-K1,Cd9,Btg2,Rps19,Timp2,Krt7,Ftl1,Tm4sf4,Rplp1,H2-Aa,H2-DMa,Apbb2,Wfdc2,Tgfbi,Hint1,Lum,Il1r2,Timp3,Btg2,Zg16,Iglc2,Hsp90b1
Ccl5,Fbln2,Zfp36,Fau,Timp3,2200002D01Rik,Fcer1g,Prkg2,Rpl13a,Actb,Syngr2,Tm4sf1,Tm4sf4,Ctsc,Rpl6,Fbn1,Pim1,Tshz2,Zfp36,Try4,Cd52,Gm49980
Hcst,Krt8,Ccrl2,Mef2c,Cd63,Dnajc10,Aif1,Npnt,Ctrb1,Cyba,Actg1,Prkg2,Cp,Fcgr2b,Aprt,Mgp,Csf3r,Smad1,Ccrl2,Ctrl,Mef2c,Txndc5
Rps13,S100a6,Tnfaip2,H2-Ab1,Slc25a4,Anxa4,Ctsz,Tspan8,Cd3e,Ctsc,Plbd1,Anxa5,Lgals4,Aif1,Rps2,Mmp2,Ier3,Cd200,Cd52,Clps,Btg1,Iglc2
Gimap4,Cldn2,H3f3b,Ighd,Cdkn2a,Tspan8,Fcgr2b,Hmgn1,Fau,Cst3,Rps11,Rhoc,Tsc22d1,Csf1r,Pfdn1,Mfap5,Nedd4,Stab1,Btg1,Klk1,Rps20,Creld2
Tmsb4x,Prkg2,Egr1,Rpl37a,Tpm4,Krt8,H2-Ab1,Phgdh,Rpl11,Fcgr2b,Psmb8,S100a6,Alcam,Zeb2,Rps26,Col6a1,Nfkbia,Nrp2,Hdc,Cela1,Rps13,Derl3
Rpl27,Tm4sf1,Fth1,Ms4a1,Ltbp1,Clu,Fth1,Tnfrsf12a,Cd3d,H2-Eb1,Gm2a,Tpm1,Sox4,Mpeg1,Ndufa2,Col15a1,Ecm1,Lrg1,Egr1,Cpa2,Rps10,Spcs3
